"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"kibuzzard-6379B29B","kibuzzard-6379B29B","32.9896mm","12.8574mm","32.9896mm","12.8574mm","32.9896mm","12.8574mm","B","180","G***",
"kibuzzard-6379B2A2","kibuzzard-6379B2A2","21.2548mm","12.8574mm","21.2548mm","12.8574mm","21.2548mm","12.8574mm","B","180","G***",
"kibuzzard-6379B2B1","kibuzzard-6379B2B1","25.903mm","5.6946mm","25.903mm","5.6946mm","25.903mm","5.6946mm","B","-90","G***",
"kibuzzard-6379B2D0","kibuzzard-6379B2D0","68.1432mm","12.9844mm","68.1432mm","12.9844mm","68.1432mm","12.9844mm","B","180","G***",
"kibuzzard-6379B2D8","kibuzzard-6379B2D8","77.6682mm","12.8574mm","77.6682mm","12.8574mm","77.6682mm","12.8574mm","B","180","G***",
"kibuzzard-635D2DDA","kibuzzard-635D2DDA","37.333mm","48.646mm","37.333mm","48.646mm","37.333mm","48.646mm","B","180","G***",
"kibuzzard-635D2DF8","kibuzzard-635D2DF8","27.173mm","48.646mm","27.173mm","48.646mm","27.173mm","48.646mm","B","180","G***",
"kibuzzard-635D2E5E","kibuzzard-635D2E5E","57.653mm","42.225356mm","57.653mm","42.225356mm","57.653mm","42.225356mm","B","-90","G***",
"kibuzzard-635D2E8C","kibuzzard-635D2E8C","62.86mm","41.28mm","62.86mm","41.28mm","62.86mm","41.28mm","B","-90","G***",
"kibuzzard-6354F005","kibuzzard-6354F005","5.456mm","43.058mm","5.456mm","43.058mm","5.456mm","43.058mm","B","180","G***",
"kibuzzard-6354F0BA","kibuzzard-6354F0BA","72.639mm","45.069362mm","72.639mm","45.069362mm","72.639mm","45.069362mm","B","90","G***",
"kibuzzard-6354F0CA","kibuzzard-6354F0CA","70.0228mm","45.143975mm","70.0228mm","45.143975mm","70.0228mm","45.143975mm","B","90","G***",
"kibuzzard-6354F197","kibuzzard-6354F197","94.78545mm","43.058mm","94.78545mm","43.058mm","94.78545mm","43.058mm","B","180","G***",
"Through Hole Items ",
"H1","HO","18.0mm","46.5mm","18.0mm","46.5mm","18.0mm","46.5mm","T","0","MountingHole",
"H2","HO","82.0mm","46.5mm","82.0mm","46.5mm","82.0mm","46.5mm","T","0","MountingHole",
"H3","HO","3.5mm","3.5mm","3.5mm","3.5mm","3.5mm","3.5mm","T","0","MountingHole",
"H4","HO","96.5mm","3.5mm","96.5mm","3.5mm","96.5mm","3.5mm","T","0","MountingHole",
"J1","MICRO-USB-SMD_MICRO-4P-DIP-JB","50.0mm","46.336mm","50.0mm","46.336mm","51.3mm","44.936mm","T","180","USB_B_Micro",
"J2","PinHeader_2x02_P2.54mm_Horizontal","28.415mm","12.87mm","28.415mm","12.87mm","28.415mm","12.87mm","T","-90","Conn_02x02_Odd_Even",
"J3","PinHeader_2x04_P2.54mm_Horizontal","12.568mm","37.978mm","12.568mm","37.978mm","12.568mm","37.978mm","T","180","Conn_02x04_Odd_Even",
"J4","PinHeader_2x02_P2.54mm_Horizontal","74.135mm","12.87mm","74.135mm","12.87mm","74.135mm","12.87mm","T","-90","Conn_02x02_Odd_Even",
"J5","PinHeader_2x04_P2.54mm_Horizontal","87.498mm","45.578mm","87.498mm","45.578mm","87.498mm","45.578mm","T","0","Conn_02x04_Odd_Even",
"J10","XH-7mm","72.5882mm","42.3976mm","72.5882mm","42.3976mm","75.134467mm","42.391144mm","T","180","Conn_01x04_Male",
"J11","PinHeader_2x06_P2.54mm_Vertical","14.6mm","34.93mm","14.6mm","34.93mm","14.6mm","34.93mm","T","-90","Conn_02x06_Odd_Even",
"J12","PinHeader_1x06_P2.54mm_Vertical","98.166mm","34.93mm","98.166mm","34.93mm","98.166mm","34.93mm","T","-90","Conn_01x06",
"J13","PinHeader_1x03_P2.54mm_Vertical","57.7292mm","45.8774mm","57.7292mm","45.8774mm","57.7292mm","45.8774mm","T","90","Conn_01x03",
"J14","PinHeader_1x04_P2.54mm_Vertical","27.3mm","23.5mm","27.3mm","23.5mm","27.3mm","23.5mm","T","0","Conn_01x04",
"J15","PinHeader_1x04_P2.54mm_Vertical","73.02mm","23.5mm","73.02mm","23.5mm","73.02mm","23.5mm","T","0","Conn_01x04",
"K1","Key","15.71mm","16.11mm","15.71mm","16.11mm","11.71mm","8.9726mm","T","0","Key",
"K2","Key","38.57mm","16.11mm","38.57mm","16.11mm","42.57mm","7.469mm","T","0","Key",
"K3","Key","61.43mm","16.11mm","61.43mm","16.11mm","57.43mm","8.9726mm","T","0","Key",
"K4","Key","84.29mm","16.11mm","84.29mm","16.11mm","80.29mm","7.469mm","T","0","Key",
"R4","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","34.7676mm","41.6864mm","34.7676mm","41.6864mm","34.7676mm","41.6864mm","T","180","4.7k",
"U2","RP2040-QFN-56","61.5392mm","34.3966mm","61.5392mm","34.3966mm","60.946998mm","38.665757mm","T","-45","RP2040",
"SW2","SW_DIP_SPSTx04_Slide_9.78x12.34mm_W7.62mm_P2.54mm","34.8184mm","39.0956mm","34.8184mm","39.0956mm","34.8184mm","39.0956mm","T","-90","SW_DIP_x04",
