"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"J10","XH-7mm","72.5882mm","85.422726mm","72.5882mm","85.422726mm","75.134467mm","85.41627mm","T","180","Conn_01x04_Male",
"J11","PinHeader_2x06_P2.54mm_Vertical","14.6mm","77.955126mm","14.6mm","77.955126mm","14.6mm","77.955126mm","T","-90","Conn_02x06_Odd_Even",
"J12","PinHeader_1x06_P2.54mm_Vertical","98.166mm","77.955126mm","98.166mm","77.955126mm","98.166mm","77.955126mm","T","-90","Conn_01x06",
"J13","PinHeader_1x03_P2.54mm_Vertical","57.7292mm","88.902526mm","57.7292mm","88.902526mm","57.7292mm","88.902526mm","T","90","Conn_01x03",
"J14","PinHeader_1x04_P2.54mm_Vertical","27.3mm","66.525126mm","27.3mm","66.525126mm","27.3mm","66.525126mm","T","0","Conn_01x04",
"J15","PinHeader_1x04_P2.54mm_Vertical","73.02mm","66.525126mm","73.02mm","66.525126mm","73.02mm","66.525126mm","T","0","Conn_01x04",
"K1","Key","15.71mm","59.135126mm","15.71mm","59.135126mm","19.71mm","67.776126mm","T","0","Key",
"K2","Key","38.57mm","59.135126mm","38.57mm","59.135126mm","42.57mm","67.776126mm","T","0","Key",
"K3","Key","61.43mm","59.135126mm","61.43mm","59.135126mm","65.43mm","67.776126mm","T","0","Key",
"K4","Key","84.29mm","59.135126mm","84.29mm","59.135126mm","88.29mm","67.776126mm","T","0","Key",
"K5","Key","55.885126mm","23.705126mm","55.885126mm","23.705126mm","51.885126mm","15.064126mm","T","180","Key",
"K6","Key","10.165126mm","23.705126mm","10.165126mm","23.705126mm","6.165126mm","15.064126mm","T","180","Key",
"R4","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","34.7676mm","84.711526mm","34.7676mm","84.711526mm","34.7676mm","84.711526mm","T","180","4.7k",
"U2","RP2040-QFN-56","61.5392mm","77.421726mm","61.5392mm","77.421726mm","60.946998mm","81.690883mm","T","-45","RP2040",
"SW2","SW_DIP_SPSTx04_Slide_9.78x12.34mm_W7.62mm_P2.54mm","34.8184mm","82.120726mm","34.8184mm","82.120726mm","34.8184mm","82.120726mm","T","-90","SW_DIP_x04",
"SW6","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm","90.224874mm","28.790126mm","90.224874mm","28.790126mm","90.224874mm","28.790126mm","T","180","RotaryEncoder_Switch",
"SW7","SW_PUSH-12mm_Wuerth-430476085716","26.615126mm","34.735126mm","26.615126mm","34.735126mm","39.115126mm","34.735126mm","T","0","SW_Push",
"SW8","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm","90.199748mm","7.500252mm","90.199748mm","7.500252mm","90.199748mm","7.500252mm","T","180","RotaryEncoder_Switch",
